Pk_int,Bk_int,Pk_true,f
/path/to/Pk_contaminated/inbox/fiducial/0/Pk_pylians-dz.dat,/path/to/Pk_contaminated/inbox/fiducial/0/Bk_6k_pyspectrum-dz.dat,/path/to/Pk_contaminated/inbox/fiducial/0/Pk_pylians-no-dz.dat,0.069145565045391
/path/to/Pk_contaminated/inbox/fiducial/1/Pk_pylians-dz.dat,/path/to/Pk_contaminated/inbox/fiducial/1/Bk_6k_pyspectrum-dz.dat,/path/to/Pk_contaminated/inbox/fiducial/1/Pk_pylians-no-dz.dat,0.069145565045391
/path/to/Pk_contaminated/inbox/fiducial/2/Pk_pylians-dz.dat,/path/to/Pk_contaminated/inbox/fiducial/2/Bk_6k_pyspectrum-dz.dat,/path/to/Pk_contaminated/inbox/fiducial/2/Pk_pylians-no-dz.dat,0.069145565045391
/path/to/Pk_contaminated/inbox/fiducial/3/Pk_pylians-dz.dat,/path/to/Pk_contaminated/inbox/fiducial/3/Bk_6k_pyspectrum-dz.dat,/path/to/Pk_contaminated/inbox/fiducial/3/Pk_pylians-no-dz.dat,0.069145565045391
/path/to/Pk_contaminated/inbox/fiducial/4/Pk_pylians-dz.dat,/path/to/Pk_contaminated/inbox/fiducial/4/Bk_6k_pyspectrum-dz.dat,/path/to/Pk_contaminated/inbox/fiducial/4/Pk_pylians-no-dz.dat,0.069145565045391
/path/to/Pk_contaminated/inbox/fiducial/5/Pk_pylians-dz.dat,/path/to/Pk_contaminated/inbox/fiducial/5/Bk_6k_pyspectrum-dz.dat,/path/to/Pk_contaminated/inbox/fiducial/5/Pk_pylians-no-dz.dat,0.0477080094045181
/path/to/Pk_contaminated/inbox/fiducial/6/Pk_pylians-dz.dat,/path/to/Pk_contaminated/inbox/fiducial/6/Bk_6k_pyspectrum-dz.dat,/path/to/Pk_contaminated/inbox/fiducial/6/Pk_pylians-no-dz.dat,0.0477080094045181
/path/to/Pk_contaminated/inbox/fiducial/7/Pk_pylians-dz.dat,/path/to/Pk_contaminated/inbox/fiducial/7/Bk_6k_pyspectrum-dz.dat,/path/to/Pk_contaminated/inbox/fiducial/7/Pk_pylians-no-dz.dat,0.0477080094045181
/path/to/Pk_contaminated/inbox/fiducial/8/Pk_pylians-dz.dat,/path/to/Pk_contaminated/inbox/fiducial/8/Bk_6k_pyspectrum-dz.dat,/path/to/Pk_contaminated/inbox/fiducial/8/Pk_pylians-no-dz.dat,0.0477080094045181
/path/to/Pk_contaminated/inbox/fiducial/9/Pk_pylians-dz.dat,/path/to/Pk_contaminated/inbox/fiducial/9/Bk_6k_pyspectrum-dz.dat,/path/to/Pk_contaminated/inbox/fiducial/9/Pk_pylians-no-dz.dat,0.0477080094045181
/path/to/Pk_contaminated/inbox/fiducial/10/Pk_pylians-dz.dat,/path/to/Pk_contaminated/inbox/fiducial/10/Bk_6k_pyspectrum-dz.dat,/path/to/Pk_contaminated/inbox/fiducial/10/Pk_pylians-no-dz.dat,0.0551544045042385
/path/to/Pk_contaminated/inbox/fiducial/11/Pk_pylians-dz.dat,/path/to/Pk_contaminated/inbox/fiducial/11/Bk_6k_pyspectrum-dz.dat,/path/to/Pk_contaminated/inbox/fiducial/11/Pk_pylians-no-dz.dat,0.0551544045042385
