Pk_int,Bk_int,Pk_true,f
/path/to/Pk_contaminated/outbox/fiducial/0/Pk_pylians-dz.dat,/path/to/Pk_contaminated/outbox/fiducial/0/Bk_6k_pyspectrum-dz.dat,/path/to/Pk_contaminated/outbox/fiducial/0/Pk_pylians-no-dz.dat,0.069145565045391
/path/to/Pk_contaminated/outbox/fiducial/500/Pk_pylians-dz.dat,/path/to/Pk_contaminated/outbox/fiducial/500/Bk_6k_pyspectrum-dz.dat,/path/to/Pk_contaminated/outbox/fiducial/500/Pk_pylians-no-dz.dat,0.0104403873544873
/path/to/Pk_contaminated/outbox/fiducial/1/Pk_pylians-dz.dat,/path/to/Pk_contaminated/outbox/fiducial/1/Bk_6k_pyspectrum-dz.dat,/path/to/Pk_contaminated/outbox/fiducial/1/Pk_pylians-no-dz.dat,0.069145565045391
/path/to/Pk_contaminated/outbox/fiducial/501/Pk_pylians-dz.dat,/path/to/Pk_contaminated/outbox/fiducial/501/Bk_6k_pyspectrum-dz.dat,/path/to/Pk_contaminated/outbox/fiducial/501/Pk_pylians-no-dz.dat,0.0104403873544873
/path/to/Pk_contaminated/outbox/fiducial/2/Pk_pylians-dz.dat,/path/to/Pk_contaminated/outbox/fiducial/2/Bk_6k_pyspectrum-dz.dat,/path/to/Pk_contaminated/outbox/fiducial/2/Pk_pylians-no-dz.dat,0.069145565045391
/path/to/Pk_contaminated/outbox/fiducial/502/Pk_pylians-dz.dat,/path/to/Pk_contaminated/outbox/fiducial/502/Bk_6k_pyspectrum-dz.dat,/path/to/Pk_contaminated/outbox/fiducial/502/Pk_pylians-no-dz.dat,0.0104403873544873
/path/to/Pk_contaminated/outbox/fiducial/3/Pk_pylians-dz.dat,/path/to/Pk_contaminated/outbox/fiducial/3/Bk_6k_pyspectrum-dz.dat,/path/to/Pk_contaminated/outbox/fiducial/3/Pk_pylians-no-dz.dat,0.069145565045391
/path/to/Pk_contaminated/outbox/fiducial/503/Pk_pylians-dz.dat,/path/to/Pk_contaminated/outbox/fiducial/503/Bk_6k_pyspectrum-dz.dat,/path/to/Pk_contaminated/outbox/fiducial/503/Pk_pylians-no-dz.dat,0.0104403873544873
/path/to/Pk_contaminated/outbox/fiducial/4/Pk_pylians-dz.dat,/path/to/Pk_contaminated/outbox/fiducial/4/Bk_6k_pyspectrum-dz.dat,/path/to/Pk_contaminated/outbox/fiducial/4/Pk_pylians-no-dz.dat,0.069145565045391
/path/to/Pk_contaminated/outbox/fiducial/504/Pk_pylians-dz.dat,/path/to/Pk_contaminated/outbox/fiducial/504/Bk_6k_pyspectrum-dz.dat,/path/to/Pk_contaminated/outbox/fiducial/504/Pk_pylians-no-dz.dat,0.0104403873544873
/path/to/Pk_contaminated/outbox/fiducial/5/Pk_pylians-dz.dat,/path/to/Pk_contaminated/outbox/fiducial/5/Bk_6k_pyspectrum-dz.dat,/path/to/Pk_contaminated/outbox/fiducial/5/Pk_pylians-no-dz.dat,0.0477080094045181
/path/to/Pk_contaminated/outbox/fiducial/505/Pk_pylians-dz.dat,/path/to/Pk_contaminated/outbox/fiducial/505/Bk_6k_pyspectrum-dz.dat,/path/to/Pk_contaminated/outbox/fiducial/505/Pk_pylians-no-dz.dat,0.069145565045391
/path/to/Pk_contaminated/outbox/fiducial/6/Pk_pylians-dz.dat,/path/to/Pk_contaminated/outbox/fiducial/6/Bk_6k_pyspectrum-dz.dat,/path/to/Pk_contaminated/outbox/fiducial/6/Pk_pylians-no-dz.dat,0.0477080094045181
/path/to/Pk_contaminated/outbox/fiducial/506/Pk_pylians-dz.dat,/path/to/Pk_contaminated/outbox/fiducial/506/Bk_6k_pyspectrum-dz.dat,/path/to/Pk_contaminated/outbox/fiducial/506/Pk_pylians-no-dz.dat,0.069145565045391
